,wx_account_name, wx_ad_title, wx_ad_date, wx_account_link, wx_ad_link, page_tag
0,苏州实习,苏州实习|洛基英语,2018-01-27,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886799&ver=1&signature=XNVo2lk45sgDbFLgvioClu2b2eSSNGBSgC5tHuj4SsFAvoJkvGwHC8FFngh6gfE21yNJgimF1WCfAKwR6Eabyw==,http://mp.weixin.qq.com/s?src=11&timestamp=1517886799&ver=681&signature=Yq9eYi8k1we4lDQV50-oUPVF28OfdmCtHBLrIVtW-sB70h2Ls7b6urTin4jXEJ-fcMTMkJSAczxgMFl7KLu3ossiI05RPhXejVqv-VKh1JybqJj6F7Cz1xwgr0c8yL-b&new=1,洛基英语_2
1,洛基英语,"洛基英语首届迎新春“十佳最具人气讲师”评选活动,正式拉开序幕!!!",2018-01-16,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886799&ver=1&signature=Nr-BRDJpAIMMSsC*oU4x3PtkhU1DbCl4LCzSUzjSBC*Zg20entOYPY-VylwcJBZdY82Lz254Xn7kKM2VmYvPSg==,http://mp.weixin.qq.com/s?src=11&timestamp=1517886799&ver=681&signature=muNwzzzFsCn3Ok8iqaQcVqIMW0wzPqIVdjLEFYvkFxOs1B8GI7cX5OLkKYNA8MqWW1Nwa8PFTFn*rom6u5Nz*cQAtUPTzcPsCH04yUQNnu84oQ-OQOT0a4zwbwrCdoP3&new=1,洛基英语_2
2,洛基家园,"【洛基英语·Vip专访】李黎丽:没有梦想,何必远方......",2017-10-26,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886799&ver=1&signature=fRpB4bIGPowcMl0OpFQ8VyFkBWRnpayOnAGi-448*W0FIgR9qEmMwgCXsjoafpygb-tNka8NW20zLLyVZ*K3-Q==,http://mp.weixin.qq.com/s?src=11&timestamp=1517886799&ver=681&signature=4Rhg92KY70YjdjPVa7esrbIC3qZ90tNlSE9xtS20RnkrTbExab9cZBE3O5-o4kgKCcZssRNePlU0H3GTF-Ph*OFTwn50AN5HW6vC9LN06E9a9HOTiOYmq*qtG-UJvg9f&new=1,洛基英语_2
3,洛基家园,"【洛基英语·Vip专访】韩宏术:他立志要让中国之声响彻全世界......现在,他正一步步趋近梦想......",2017-11-08,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886799&ver=1&signature=fRpB4bIGPowcMl0OpFQ8VyFkBWRnpayOnAGi-448*W0FIgR9qEmMwgCXsjoafpygb-tNka8NW20zLLyVZ*K3-Q==,http://mp.weixin.qq.com/s?src=11&timestamp=1517886799&ver=681&signature=4Rhg92KY70YjdjPVa7esrbIC3qZ90tNlSE9xtS20RnmtiAn5btAIehor2l-srwNh7YGN4pIPUOMuh5hmVrhRa4rHb1lsLEmKWggvIFECvnOgafwIc08kr5C-K2h1y-*o&new=1,洛基英语_2
4,洛基英语,洛基英语丨分享一些新颖的英语词汇记忆方法,2016-11-03,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886799&ver=1&signature=Nr-BRDJpAIMMSsC*oU4x3PtkhU1DbCl4LCzSUzjSBC*Zg20entOYPY-VylwcJBZdY82Lz254Xn7kKM2VmYvPSg==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886799&ver=1&signature=v45HB2pnHrRktohtgV7KJ*FIeZOw6Ouixw7TDydRLZgRQEa6qfpLTvzUZUbqxuNEmBL-0f4xP66KHvIiln8TcqA23QxN06mOEPmaAHzlSwEtMltie*V8HYVQXzcLU5QvGa6GgfhfX-oFAZWwait0oTSRZUc4NeH6-hUz7lY9fDU=,洛基英语_2
5,洛基英语,"她大学是英语专业,却依然选择在洛基英语学习",2017-02-23,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886799&ver=1&signature=Nr-BRDJpAIMMSsC*oU4x3PtkhU1DbCl4LCzSUzjSBC*Zg20entOYPY-VylwcJBZdY82Lz254Xn7kKM2VmYvPSg==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886799&ver=1&signature=v45HB2pnHrRktohtgV7KJ*FIeZOw6Ouixw7TDydRLZg5dGoFZdEYRGGtQyJuaK4KCe9RRrR6JSlTXqpXkVHqU5f9Ucmg325w17msi660831TqFLulLmXKUL9hlix3XXPn4TWFXP6YDvC6KfASG87MJqRZiz61TwhsGIp13HvUkQ=,洛基英语_2
6,洛基英语,洛基英语丨自学英语从哪里入手,2016-06-22,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886799&ver=1&signature=Nr-BRDJpAIMMSsC*oU4x3PtkhU1DbCl4LCzSUzjSBC*Zg20entOYPY-VylwcJBZdY82Lz254Xn7kKM2VmYvPSg==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886799&ver=1&signature=v45HB2pnHrRktohtgV7KJ*FIeZOw6Ouixw7TDydRLZiIUY7LxpL600QXRpGyiqoaU81rUNhC9QGeCmgzx5VaRyPHnCIjr4NRe0n*5ww7GfzxUqXL1sB-OEr3AwKGnfQqJ3LssTEcMpOo*3RQmvHcJnMWSUtXNteaoY6wsliJmyQ=,洛基英语_2
7,洛基英语,【洛基英语】我们为什么要学习一门外语?,2015-04-27,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886799&ver=1&signature=bbyJDial6jxp1t-X4Vkfk7nNJ-g4Wi1JO2YGaAM6WtEoj9nVthhrU-88iyWJNxIDhKSPxjhhuLHTrbzB8Ms-8g==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886799&ver=1&signature=nJtXU3xnLCTrpnSUaA1XK*iJeJXCuUxFZzkBYS5Uwv9*menndlZNzdnuAkUDE8NAL7-eTrbx5bcgW*Mtm*zLZNGbEAkwqJ79aFFFTjc7guADuHgZ9s7e8wS4PP076umBzQDM02SVuRyvDfr4LpDwdQ==,洛基英语_2
8,洛基英语,洛基英语丨详细讲解英语句子类型的分类,2016-06-23,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886799&ver=1&signature=Nr-BRDJpAIMMSsC*oU4x3PtkhU1DbCl4LCzSUzjSBC*Zg20entOYPY-VylwcJBZdY82Lz254Xn7kKM2VmYvPSg==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886799&ver=1&signature=v45HB2pnHrRktohtgV7KJ*FIeZOw6Ouixw7TDydRLZiIUY7LxpL600QXRpGyiqoab2FqbRUUluZKstj-4G4*atNgdn3QsQL1B2M8R7X6U6VSvkmM4dcyEGQQNTXC1CDeoh5hcqRs9RvpFPWy1hkVwT7JSZ-88aQ*oIRTNq4KQi4=,洛基英语_2
9,英语奇葩说,"洛基英语新年大回馈,听课就能抽大奖!",2016-02-17,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886799&ver=1&signature=Q4*qg7OucC7rXiWWDAoJq-6OYXu6oJ16tLK*TiSwVCHLQIvqZT6Gu2j*TY3ekd6xX31In3swutjz7AMsBBQp8Q==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886799&ver=1&signature=0vD-tOcIaEFf1op6fVMbS7Gkddys3tN7-NE3T5QpDuwk-TuhhUEpI3aQJbc9rkF3f4IpLeqJeLBeg5Mo7-rqze-LbhoHlVsIBdzOi8yDzir7GO4wTUF1n9EUNMucAogeuMD5meM8f3axjSF2LCQuYg==,洛基英语_2
0,宋军良小学英语,洛基英语带给你不一样的体验,2017-08-24,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886844&ver=1&signature=h8LUPmBfcJ3DNbbWidZNRQjuLS9Of0f1udFhazpf6By3y7l9g5MVFqteTuIRAm5ifw1TfChQ6NwP1NhdfJOJtg==,http://mp.weixin.qq.com/s?src=11&timestamp=1517886844&ver=681&signature=aVnz7N18b*Eid2xDYp3EsAbMcl76c0M2fWJ9wt-Fy4qSAswrusZ9g0uV5ZuNPaId47LZpv*fws110epuThJYtlLrWXFBIpj06n6RTRya79nKGSmQTiliFu6iPA2oVzPq&new=1,洛基英语_3
1,洛基英语,【课程调价通知函】洛基英语2015新价格,2015-04-07,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886844&ver=1&signature=bbyJDial6jxp1t-X4Vkfk7nNJ-g4Wi1JO2YGaAM6WtEoj9nVthhrU-88iyWJNxIDy0lGVeEvF-JhvbBK51lb5A==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886844&ver=1&signature=nJtXU3xnLCTrpnSUaA1XK*iJeJXCuUxFZzkBYS5Uwv9A7tWrFF88-Jv7Wqq4jWs2WzCF9MRqdZ-9OGc29dMMI6GvRfxBKuoSX0Ltf82-pc6KGKicqKksPjXpUj5dHBt0iFUGvCcQGFW9X9HJZnR3tg==,洛基英语_3
2,洛基家园,【English VIP】洛基英语＂狂野青春＂首发宣传片....,2017-09-07,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886844&ver=1&signature=fRpB4bIGPowcMl0OpFQ8VyFkBWRnpayOnAGi-448*W0FIgR9qEmMwgCXsjoafpyg9wWOi1W7Aaob8bhTOMmuJw==,http://mp.weixin.qq.com/s?src=11&timestamp=1517886844&ver=681&signature=4Rhg92KY70YjdjPVa7esrbIC3qZ90tNlSE9xtS20RnmZ-bzJg-h69ugJvyR2M8Y2WIAuyx3U6N7yU-ftPoLPywizgoHxXuroMwyqbr57BWm5ksykbjrmamPv8NAyCRgI&new=1,洛基英语_3
3,洛基英语,"【下一个十年,下一个奇迹】洛基英语2018年会盛典暨颁奖典礼,精彩新鲜来袭!!!",2018-02-03,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886844&ver=1&signature=Nr-BRDJpAIMMSsC*oU4x3PtkhU1DbCl4LCzSUzjSBC*Zg20entOYPY-VylwcJBZdFrsrM99-BReYHkmMcLQfvA==,http://mp.weixin.qq.com/s?src=11&timestamp=1517886844&ver=681&signature=muNwzzzFsCn3Ok8iqaQcVqIMW0wzPqIVdjLEFYvkFxP3BMovJzfGnd63OLGW8zTEGs016pONBAPoYsly4lxG-HS7toubXsCmJcT-ggaK-vTGmXeejQ2pyxm5FZx7SObI&new=1,洛基英语_3
4,洛基英语,"【十年不忘初心,十年厚积薄发】洛基英语荣获2017央广网“年度中国教育行业领军品牌”",2017-12-14,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886844&ver=1&signature=Nr-BRDJpAIMMSsC*oU4x3PtkhU1DbCl4LCzSUzjSBC*Zg20entOYPY-VylwcJBZdFrsrM99-BReYHkmMcLQfvA==,http://mp.weixin.qq.com/s?src=11&timestamp=1517886844&ver=681&signature=muNwzzzFsCn3Ok8iqaQcVqIMW0wzPqIVdjLEFYvkFxPwxlkxT6rsS90RNbOAOdzUblP6f1lpMbtcUGkTYzcRYNDUKQ1-fC3MCsyHJZtIRHM3QHD3DFdB2jRBYqBeR3iI&new=1,洛基英语_3
5,洛基英语,洛基英语“第一届讲师pk大赛”圆满落幕,2016-07-01,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886844&ver=1&signature=Nr-BRDJpAIMMSsC*oU4x3PtkhU1DbCl4LCzSUzjSBC*Zg20entOYPY-VylwcJBZdFrsrM99-BReYHkmMcLQfvA==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886844&ver=1&signature=v45HB2pnHrRktohtgV7KJ*FIeZOw6Ouixw7TDydRLZiiKg*U3ezRM4IzQ6MRkFsmSQ0rtq95bD30NShyrnWtbYw0rngpGaAJrbUfYe5ZOB7fNmfQESg5B4rj4W0R1L2V1U4ZDA4T*fQeryAsHVtWpsLMhDNf93pz8Xcw6yDT-0w=,洛基英语_3
6,洛基英语,"感恩大回馈:洛基英语喜迎9周年,一路相伴,与你同行",2016-08-16,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886844&ver=1&signature=Nr-BRDJpAIMMSsC*oU4x3PtkhU1DbCl4LCzSUzjSBC*Zg20entOYPY-VylwcJBZdFrsrM99-BReYHkmMcLQfvA==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886844&ver=1&signature=v45HB2pnHrRktohtgV7KJ*FIeZOw6Ouixw7TDydRLZjOCYdi2qOvhZEuoL2QX*EFLbrE0eLtuibthOKzbW1Iuhum4QTxFOKlZm*8vJObdLkSCLiDjkgWQzXEp9Ezum3Cavts*v17GBa0H2RsvDuMwiEwUEKZenKzY3YkX8Ez*C4=,洛基英语_3
7,洛基英语,"【洛基英语】十二星座思维图示,看了你就全明白了!",2015-04-03,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886844&ver=1&signature=bbyJDial6jxp1t-X4Vkfk7nNJ-g4Wi1JO2YGaAM6WtEoj9nVthhrU-88iyWJNxIDy0lGVeEvF-JhvbBK51lb5A==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886844&ver=1&signature=nJtXU3xnLCTrpnSUaA1XK*iJeJXCuUxFZzkBYS5Uwv9u1jDN0UAbtPXIiUtFTnHpTj7sHOVjF9wl*rLcejcrbvP*dXcIvmIXt0LEmgUgg7EF57mV2EZUJlpdWZRPloGLgLDp5HUgiMGam2Ee4HIfTg==,洛基英语_3
8,洛基英语,洛基英语教学部第三季度表彰大会圆满落幕,2015-10-12,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886844&ver=1&signature=bbyJDial6jxp1t-X4Vkfk7nNJ-g4Wi1JO2YGaAM6WtEoj9nVthhrU-88iyWJNxIDy0lGVeEvF-JhvbBK51lb5A==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886844&ver=1&signature=nJtXU3xnLCTrpnSUaA1XK*iJeJXCuUxFZzkBYS5Uwv*EOyYfG9i48SiAVEDC571xcuzie0xYRLd6IwQhE0aZPy05hIUxgtDMw5yoSgZAnNkO93iuiomIKvOL4MjRrT7m8pkWRDi5agzxfFMJrEWGYA==,洛基英语_3
9,洛基英语,【洛基英语】5张卡通图让你掌握所有英文介词,2015-05-01,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886844&ver=1&signature=bbyJDial6jxp1t-X4Vkfk7nNJ-g4Wi1JO2YGaAM6WtEoj9nVthhrU-88iyWJNxIDy0lGVeEvF-JhvbBK51lb5A==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886844&ver=1&signature=nJtXU3xnLCTrpnSUaA1XK*iJeJXCuUxFZzkBYS5Uwv9H*JCS*oQRFql5LMp3heuJu3B7lj5-QebF-1ZO5BMCJ*sytLpeImhHLuMhQrKHvbUrumGxiidssdg0Yi2FgDvB8JdcSZW7PezVtsD2oVPvlg==,洛基英语_3
0,洛基英语,【洛基英语】中国人都是怎么在线学外语的?,2015-04-07,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886898&ver=1&signature=bbyJDial6jxp1t-X4Vkfk7nNJ-g4Wi1JO2YGaAM6WtEoj9nVthhrU-88iyWJNxID9uK1qSx54eHwI7Sd2CvjlA==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886898&ver=1&signature=nJtXU3xnLCTrpnSUaA1XK*iJeJXCuUxFZzkBYS5Uwv9A7tWrFF88-Jv7Wqq4jWs2CFvovyb3GuFP4sLkBL8XYFtwn033inMSHWbSPfs59*fcPS4uoZTpaoRpagmQilfgaD9dZKxB-7OQGXnztg07uw==,洛基英语_4
1,洛基英语,【洛基英语】这九张图说的一定是你!一定是!!!,2015-04-06,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886898&ver=1&signature=bbyJDial6jxp1t-X4Vkfk7nNJ-g4Wi1JO2YGaAM6WtEoj9nVthhrU-88iyWJNxID9uK1qSx54eHwI7Sd2CvjlA==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886898&ver=1&signature=nJtXU3xnLCTrpnSUaA1XK*iJeJXCuUxFZzkBYS5Uwv9cqTzfJI2Py6sEg4NURoF*U07Cc*cl0GFg-m9lzvTCP90mSSP-BYZcPId4lW4Y1GLIzFCnQtiqb3hK09zkxA9rOTouWO4uJx5aibIf82JNrA==,洛基英语_4
2,洛基英语,"【下一个十年,下一个奇迹】洛基英语2018年会暨10周年庆典精彩新鲜来袭!!!",2018-02-02,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886898&ver=1&signature=Nr-BRDJpAIMMSsC*oU4x3PtkhU1DbCl4LCzSUzjSBC*Zg20entOYPY-VylwcJBZdPIcTB2HTnI*5W0ximiakbw==,http://mp.weixin.qq.com/s?src=11&timestamp=1517886898&ver=681&signature=muNwzzzFsCn3Ok8iqaQcVqIMW0wzPqIVdjLEFYvkFxN*HeG-adwblJaRkPcTyZ6W64f3lGTfx8ySh*uQqZUWZHft*Ax43-AIKnxU6FbZmGVyuBfD4YXgqF4TnYFDWfmN&new=1,洛基英语_4
3,洛基英语,"【洛基英语】不想英语学不好,就别碰这8个坏习惯",2015-04-22,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886898&ver=1&signature=bbyJDial6jxp1t-X4Vkfk7nNJ-g4Wi1JO2YGaAM6WtEoj9nVthhrU-88iyWJNxID9uK1qSx54eHwI7Sd2CvjlA==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886898&ver=1&signature=nJtXU3xnLCTrpnSUaA1XK*iJeJXCuUxFZzkBYS5Uwv81lPG-iwhewLJBFPf8*X**b1kqFCzpRqv9BHhSBKel2-h4iqArWFX4r326gn7Rts4qdKvIvhZiYEBGMYnIWWW7e5sXc4PeBJBjbvVRsNOOVw==,洛基英语_4
4,洛基家园,过节!加班!还是这样才像洛基英语.....,2017-09-30,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886898&ver=1&signature=fRpB4bIGPowcMl0OpFQ8VyFkBWRnpayOnAGi-448*W0FIgR9qEmMwgCXsjoafpyg4K5VZ*6Yq39sEdaL6C-EUg==,http://mp.weixin.qq.com/s?src=11&timestamp=1517886898&ver=681&signature=4Rhg92KY70YjdjPVa7esrbIC3qZ90tNlSE9xtS20RnmhXPzqp-2C2R2h746woWAropzR3jmmWFYs43v0VJ--qH2Lt0NXJQB6zERhIgW7680184ZiCHqZmEw1lIn4t4pF&new=1,洛基英语_4
5,洛基英语,"【洛基英语】learn 和study 的区别,学英语的你必须知道",2015-04-26,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886898&ver=1&signature=bbyJDial6jxp1t-X4Vkfk7nNJ-g4Wi1JO2YGaAM6WtEoj9nVthhrU-88iyWJNxID9uK1qSx54eHwI7Sd2CvjlA==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886898&ver=1&signature=nJtXU3xnLCTrpnSUaA1XK*iJeJXCuUxFZzkBYS5Uwv9VRlmEx-hjtJBrSgb*r3DC1*adEKBFkbaVnolNv1qzJopEe7g22Yj0hP5*JyQeddVkqGspYx3SrJg6M1ygTc0*C3YrQVjQ510nW2eHkpNqSw==,洛基英语_4
6,洛基家园,"【洛基英语·Vip专访】陈斌:高端人脉的粘合剂,英语学习狂潮的带动者.....",2017-11-21,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886898&ver=1&signature=fRpB4bIGPowcMl0OpFQ8VyFkBWRnpayOnAGi-448*W0FIgR9qEmMwgCXsjoafpyg4K5VZ*6Yq39sEdaL6C-EUg==,http://mp.weixin.qq.com/s?src=11&timestamp=1517886898&ver=681&signature=4Rhg92KY70YjdjPVa7esrbIC3qZ90tNlSE9xtS20RnmTXFogTRGlXbCsPeFclfih1jS1a0r3UDMjbZ0d9MKb3MYM4JbQbutBgeBR3kYE0aVSgKor4YgjpPNxc*TuKqsZ&new=1,洛基英语_4
7,英语奇葩说,"洛基英语首席讲师Benson老师重磅来袭,教你最传奇的英语学习方法!",2016-01-29,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886898&ver=1&signature=Q4*qg7OucC7rXiWWDAoJq-6OYXu6oJ16tLK*TiSwVCHLQIvqZT6Gu2j*TY3ekd6xlV-rur4r151-u41XgUbR9g==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886898&ver=1&signature=0vD-tOcIaEFf1op6fVMbS7Gkddys3tN7-NE3T5QpDuwlAa0zvZLTTN0KBFfw3A2l5xz*Lrpsu2ZAz2FkjazDT7h89xwkfuPaVOIo*u2zf5OhEYy39j7cOIOiw7q-SGRQVu1aRyQmPktBlO0gWWG9Lw==,洛基英语_4
8,洛基英语,洛基英语“希望图书馆”捐赠书籍参考目录,2017-02-16,http://mp.weixin.qq.com/profile?src=3&timestamp=1517886898&ver=1&signature=Nr-BRDJpAIMMSsC*oU4x3PtkhU1DbCl4LCzSUzjSBC*Zg20entOYPY-VylwcJBZdPIcTB2HTnI*5W0ximiakbw==,http://mp.weixin.qq.com/s?src=3&timestamp=1517886898&ver=1&signature=v45HB2pnHrRktohtgV7KJ*FIeZOw6Ouixw7TDydRLZjLBsVd8lqwPuQaVvrA3G3jITWvGKJJUalWmXnctMfNEX74RXOHAjEVzU-DDAfCeQ6tN0vRGDLL6vYXDqNf0*pjHg7jAKZrY-vq34A7-I0z4Ht5861YECn10NteVyPYXVA=,洛基英语_4
